weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20080411,ASHNOLA,actual,True,5.3,True,59,True,320,True,13.1,True,0,,,,,,,,
20080412,ASHNOLA,actual,True,12.7,True,41,True,135,True,12.8,True,0,,,,,,,,
20080413,ASHNOLA,actual,True,13.5,True,35,True,223,True,16.4,True,0,,,,,,,,
20080414,ASHNOLA,actual,True,-1.2,True,74,True,303,True,25.8,True,0,,,,,,,,
20080415,ASHNOLA,actual,True,-2.7,True,72,True,300,True,23.7,True,0,,,,,,,,
20080416,ASHNOLA,actual,True,4.5,True,52,True,299,True,25.5,True,0,,,,,,,,
20080417,ASHNOLA,actual,True,5.4,True,46,True,317,True,21.6,True,0,,,,,,,,
20080419,ASHNOLA,actual,True,-7.6,True,75,True,298,True,11.3,True,0.2,,,,,,,,
20080420,ASHNOLA,actual,True,-4.2,True,67,True,311,True,6.7,True,0.4,,,,,,,,
20080421,ASHNOLA,actual,True,-3.5,True,50,True,313,True,16,True,0.8,,,,,,,,
20080422,ASHNOLA,actual,True,2.6,True,40,True,122,True,7.6,True,0.2,,,,,,,,
20080423,ASHNOLA,actual,True,0.4,True,83,True,134,True,9,True,0,,,,,,,,
20080424,ASHNOLA,actual,True,1.1,True,56,True,288,True,29.2,True,0.4,,,,,,,,
20080425,ASHNOLA,actual,True,1.7,True,44,True,287,True,15.4,True,0,,,,,,,,
20080426,ASHNOLA,actual,True,9.3,True,27,True,139,True,11.1,True,0,,,,,,,,
20080427,ASHNOLA,actual,True,11.1,True,32,True,131,True,9,True,0,,,,,,,,
20080428,ASHNOLA,actual,True,11.5,True,45,True,229,True,11.3,True,0,,,,,,,,
20080429,ASHNOLA,actual,True,0.5,True,53,True,310,True,16.5,True,0,,,,,,,,
20080430,ASHNOLA,actual,True,-3,True,83,True,300,True,28.8,True,0,,,,,,,,
20080501,ASHNOLA,actual,True,3.6,True,44,True,318,True,11.5,True,0,,,,,,,,
20080502,ASHNOLA,actual,True,8.1,True,34,True,357,True,6.2,True,0,,,,,,,,
20080503,ASHNOLA,actual,True,6.7,True,59,True,304,True,12.4,True,0,,,,,,,,
20080504,ASHNOLA,actual,True,12,True,40,True,301,True,8.1,True,1.2,,,,,,,,
20080505,ASHNOLA,actual,True,9.7,True,40,True,305,True,18.2,True,0,,,,,,,,
20080506,ASHNOLA,actual,True,9,True,46,True,324,True,11.2,True,0,,,,,,,,
20080507,ASHNOLA,actual,True,5.1,True,51,True,303,True,18.3,True,0,,,,,,,,
20080508,ASHNOLA,actual,True,1.6,True,66,True,306,True,14.6,True,0,,,,,,,,
20080509,ASHNOLA,actual,True,5,True,53,True,138,True,6.6,True,0,,,,,,,,
20080510,ASHNOLA,actual,True,7.8,True,52,True,77,True,5.5,True,0,,,,,,,,
20080511,ASHNOLA,actual,True,-1.7,True,96,True,307,True,17,True,0.2,,,,,,,,
20080512,ASHNOLA,actual,True,5.2,True,63,True,304,True,8.6,True,0,,,,,,,,
20080513,ASHNOLA,actual,True,1.8,True,100,True,318,True,4.1,True,2.2,,,,,,,,
20080514,ASHNOLA,actual,True,9.6,True,90,True,293,True,26.9,True,2.2,,,,,,,,
20080515,ASHNOLA,actual,True,18.2,True,40,True,156,True,8.7,True,0,,,,,,,,
20080517,ASHNOLA,actual,True,24,True,28,True,295,True,19.7,True,0,,91.3969,10.75774,306.724,14.12151,19.78103,18.15484,2
20080518,ASHNOLA,actual,True,15.9,True,46,True,306,True,21,True,0,,89.53805,13.17452,311.99,11.56055,23.83303,17.09691,2
20080519,ASHNOLA,actual,True,13.4,True,51,True,271,True,23,True,0,,88.14735,15.04503,316.806,10.47293,26.89676,16.84935,2
20080520,ASHNOLA,actual,True,4.3,True,92,True,294,True,26.2,True,0.8,,78.01886,15.15876,319.984,3.532897,27.10712,6.920115,2
20080521,ASHNOLA,actual,True,4.1,True,63,True,303,True,23.6,True,1.6,,70.96946,14.81557,323.126,2.120924,26.5839,4.108833,1
20080522,ASHNOLA,actual,True,6.5,True,68,True,317,True,11,True,0,,76.50639,15.45583,326.7,1.463315,27.64233,2.723483,1
20080523,ASHNOLA,actual,True,6.2,True,89,True,141,True,4,True,4.6,,37.68153,9.89071,319.0268,2.675132E-02,18.35851,0.0229848,1
20080524,ASHNOLA,actual,True,13,True,51,True,121,True,5.8,True,1.6,,57.57071,10.98452,323.7708,0.4633009,20.25138,0.4233032,1
20080525,ASHNOLA,actual,True,9.9,True,75,True,287,True,6.2,True,1,,62.87523,11.70851,327.9568,0.656268,21.49822,0.6228053,1
20080526,ASHNOLA,actual,True,6.1,True,96,True,237,True,3,True,19.2,,12.57714,5.042728,270.7635,5.852279E-06,9.636766,3.460795E-06,1
20080527,ASHNOLA,actual,True,14.5,True,47,True,157,True,6.8,True,3,,45.50287,5.150564,271.0794,0.1251312,9.834008,0.0748067,1
20080528,ASHNOLA,actual,True,14.4,True,55,True,233,True,6.2,True,0,,67.76103,6.986845,276.0754,0.79595,13.14219,0.5595607,1
20080529,ASHNOLA,actual,True,12.5,True,46,True,316,True,16.1,True,0.2,,80.80285,8.92027,280.7294,2.790934,16.52761,3.987059,1
20080530,ASHNOLA,actual,True,16.2,True,34,True,136,True,8.3,True,0,,87.28285,11.92624,286.0494,4.412231,21.60096,7.405952,2
20080531,ASHNOLA,actual,True,14.5,True,40,True,162,True,5.1,True,0,,87.96102,14.39041,291.0634,4.137567,25.61478,7.719362,2
20080601,ASHNOLA,actual,True,5.9,True,98,True,301,True,10.2,True,13.2,,19.394,6.60297,257.8849,1.723101E-04,12.41147,1.172158E-04,1
