weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20080101,MCCUDDY,actual,True,-3.8,True,70,True,135,True,16.8,True,1.01,100,,,,,,,
20080102,MCCUDDY,actual,True,-2.1,True,71,True,180,True,9.7,True,0,100,,,,,,,
20080103,MCCUDDY,actual,True,0.6,True,81,True,135,True,14.2,True,0,100,,,,,,,
20080104,MCCUDDY,actual,True,0.7,True,95,True,0,True,16.6,True,0.25,100,,,,,,,
20080105,MCCUDDY,actual,True,0.4,True,79,True,135,True,18.5,True,8.63,100,,,,,,,
20080106,MCCUDDY,actual,True,-2.6,True,78,True,270,True,9.8,True,0,100,,,,,,,
20080107,MCCUDDY,actual,True,-2.8,True,87,True,270,True,8.5,True,0,100,,,,,,,
20080108,MCCUDDY,actual,True,-3.4,True,84,True,180,True,11.1,True,0,100,,,,,,,
20080109,MCCUDDY,actual,True,-2.6,True,91,True,270,True,5,True,0,100,,,,,,,
20080110,MCCUDDY,actual,True,-3.1,True,93,True,180,True,10.5,True,0.51,100,,,,,,,
20080111,MCCUDDY,actual,True,-1.5,True,94,True,90,True,0,True,0,100,,,,,,,
20080112,MCCUDDY,actual,True,0.1,True,95,True,135,True,12.5,True,1.27,100,,,,,,,
20080113,MCCUDDY,actual,True,-2.1,True,92,True,0,True,0,True,0,100,,,,,,,
20080114,MCCUDDY,actual,True,1,True,77,True,135,True,13.8,True,0.25,100,,,,,,,
20080115,MCCUDDY,actual,True,-3.8,True,44,True,270,True,7,True,0,100,,,,,,,
20080116,MCCUDDY,actual,True,-6.9,True,69,True,270,True,4.4,True,0,100,,,,,,,
20080117,MCCUDDY,actual,True,-4.7,True,76,True,270,True,5.2,True,0,100,,,,,,,
20080118,MCCUDDY,actual,True,2.2,True,66,True,315,True,5.6,True,0,100,,,,,,,
20080119,MCCUDDY,actual,True,-4.1,True,93,True,270,True,7.4,True,0,100,,,,,,,
20080120,MCCUDDY,actual,True,-3.5,True,73,True,135,True,4.4,True,0,100,,,,,,,
20080121,MCCUDDY,actual,True,-8.4,True,66,True,270,True,6.3,True,0.25,100,,,,,,,
20080122,MCCUDDY,actual,True,-9,True,81,True,225,True,6.5,True,0,100,,,,,,,
20080123,MCCUDDY,actual,True,-8,True,60,True,270,True,8.4,True,0,100,,,,,,,
20080124,MCCUDDY,actual,True,-7.9,True,62,True,270,True,7.9,True,0,100,,,,,,,
20080125,MCCUDDY,actual,True,-5.9,True,62,True,315,True,6.7,True,0,100,,,,,,,
20080126,MCCUDDY,actual,True,-6.8,True,75,True,270,True,5.8,True,0.25,100,,,,,,,
20080127,MCCUDDY,actual,True,-5.5,True,94,True,225,True,1.7,True,0,100,,,,,,,
20080128,MCCUDDY,actual,True,-13.3,True,72,True,315,True,5.7,True,0,100,,,,,,,
20080129,MCCUDDY,actual,True,-10.7,True,89,True,270,True,6,True,0,100,,,,,,,
20080130,MCCUDDY,actual,True,-7.1,True,89,True,225,True,4.8,True,0,100,,,,,,,
20080131,MCCUDDY,actual,True,-2.3,True,95,True,90,True,2.9,True,0.25,100,,,,,,,
20080201,MCCUDDY,actual,True,-2.9,True,86,True,225,True,3.9,True,0.51,100,,,,,,,
20080202,MCCUDDY,actual,True,-3.7,True,82,True,270,True,3.1,True,0.25,100,,,,,,,
20080203,MCCUDDY,actual,True,-2.4,True,76,True,315,True,9.6,True,0.25,100,,,,,,,
20080204,MCCUDDY,actual,True,-4,True,63,True,270,True,6.1,True,1.02,100,,,,,,,
20080205,MCCUDDY,actual,True,-2.7,True,80,True,135,True,11,True,0,100,,,,,,,
20080206,MCCUDDY,actual,True,0.3,True,53,True,270,True,3.3,True,0.25,100,,,,,,,
20080207,MCCUDDY,actual,True,2.2,True,94,True,270,True,3.5,True,2.29,100,,,,,,,
20080208,MCCUDDY,actual,True,2.6,True,66,True,270,True,3.7,True,1.77,100,,,,,,,
20080209,MCCUDDY,actual,True,1.3,True,68,True,270,True,9.1,True,0,100,,,,,,,
20080210,MCCUDDY,actual,True,2.7,True,84,True,270,True,9.4,True,0,100,,,,,,,
20080211,MCCUDDY,actual,True,0.2,True,80,True,90,True,13,True,0.51,100,,,,,,,
20080212,MCCUDDY,actual,True,5.2,True,68,True,180,True,9.2,True,2.02,100,,,,,,,
20080213,MCCUDDY,actual,True,2.3,True,49,True,0,True,13.8,True,0,100,,,,,,,
20080214,MCCUDDY,actual,True,1.6,True,56,True,270,True,6.6,True,0,100,,,,,,,
20080215,MCCUDDY,actual,True,-0.4,True,74,True,45,True,2.9,True,0,100,,,,,,,
20080216,MCCUDDY,actual,True,2.7,True,60,True,270,True,10.7,True,0,100,,,,,,,
20080217,MCCUDDY,actual,True,2.2,True,47,True,270,True,8.3,True,0,100,,,,,,,
20080218,MCCUDDY,actual,True,0.5,True,59,True,270,True,8.3,True,0,100,,,,,,,
20080219,MCCUDDY,actual,True,2.6,True,56,True,315,True,6.6,True,0,100,,,,,,,
20080220,MCCUDDY,actual,True,3.1,True,56,True,270,True,7,True,0,100,,,,,,,
20080221,MCCUDDY,actual,True,2.5,True,69,True,270,True,8.4,True,0,100,,,,,,,
20080222,MCCUDDY,actual,True,4.8,True,62,True,270,True,9,True,0,100,,,,,,,
20080223,MCCUDDY,actual,True,4,True,74,True,270,True,8.2,True,0,100,,,,,,,
20080224,MCCUDDY,actual,True,0.7,True,88,True,180,True,1.8,True,0,100,,,,,,,
20080225,MCCUDDY,actual,True,4.7,True,69,True,270,True,9.7,True,2.78,100,,,,,,,
20080226,MCCUDDY,actual,True,2.2,True,87,True,135,True,7.9,True,0,100,,,,,,,
20080227,MCCUDDY,actual,True,3,True,86,True,315,True,4.8,True,0,100,,,,,,,
20080228,MCCUDDY,actual,True,6.4,True,71,True,270,True,10.8,True,0,100,,,,,,,
20080229,MCCUDDY,actual,True,8.6,True,57,True,180,True,15.3,True,0,100,,,,,,,
20080301,MCCUDDY,startup,True,4.6,True,42,True,0,True,9,True,0.5,100,85,6,389,,,,
20080302,MCCUDDY,actual,True,4,True,40,True,225,True,5.1,True,0,100,85.84985,6.521607,389.424,3.065917,12.51908,3.68557,1
20080303,MCCUDDY,actual,True,1.8,True,63,True,135,True,9.4,True,0.5,100,84.7426,6.704511,389.452,3.266715,12.85574,4.025072,1
20080304,MCCUDDY,actual,True,4.1,True,55,True,0,True,13.5,True,0.75,100,81.70725,7.103387,389.894,2.717239,13.58789,3.384434,1
20080305,MCCUDDY,actual,True,3.4,True,48,True,270,True,10.2,True,0,100,83.54484,7.502264,390.21,2.897022,14.3164,3.7758,1
20080306,MCCUDDY,actual,True,4.6,True,51,True,270,True,8.9,True,0,100,84.21606,7.978358,390.742,2.96616,15.18175,4.029848,1
