weather_date,display_name,status,temp_valid,temperature,rh_valid,relative_humidity,wdir_valid,wind_direction,wspeed_valid,wind_speed,precip_valid,precipitation,gc,ffmc,dmc,dc,isi,bui,fwi,danger_rating
20080202,PENTICTON RS,actual,True,-1.9,True,76,True,270,True,2.5,True,0.5,100,63.15852,0,623.0434,0.5520939,0,0.1104188,1
20080203,PENTICTON RS,actual,True,0.6,True,70,True,45,True,7.7,True,1.01,100,64.32504,0.0724455,622.8554,0.7560443,0.1448489,0.1611241,1
20080204,PENTICTON RS,actual,True,-2.9,True,77,True,270,True,2.2,True,1.77,100,52.78205,0,622.0554,0.2510663,0,5.021326E-02,1
20080205,PENTICTON RS,actual,True,-0.6,True,79,True,225,True,16.8,True,0,100,61.80123,1.491525E-02,621.6514,1.059797,2.982871E-02,0.21583,1
20080206,PENTICTON RS,actual,True,1.7,True,65,True,90,True,2.5,True,0.25,100,68.61522,0.1541242,621.6614,0.6790182,0.3080576,0.1522004,1
20080207,PENTICTON RS,actual,True,2.8,True,87,True,225,True,4.2,True,1.78,100,54.40881,7.201935E-02,621.8694,0.3264545,0.143997,6.955184E-02,1
20080208,PENTICTON RS,actual,True,6.5,True,52,True,225,True,10.1,True,0,100,70.1467,0.5902178,622.7435,1.045565,1.177645,0.2838224,1
20080209,PENTICTON RS,actual,True,1.2,True,75,True,315,True,5.4,True,0,100,73.48641,0.6718965,622.6635,0.9330656,1.340178,0.2606351,1
20080210,PENTICTON RS,actual,True,5.9,True,74,True,225,True,6.8,True,0,100,76.5957,0.9304275,623.4294,1.19154,1.853938,0.3612138,1
20080211,PENTICTON RS,actual,True,2.1,True,85,True,270,True,3,True,0,100,76.88264,0.9986115,623.5114,1.004164,1.989258,0.3104858,1
20080212,PENTICTON RS,actual,True,5.6,True,71,True,225,True,9.1,True,1.26,100,70.59975,1.274615,624.2234,1.008944,2.536282,0.3358912,1
20080213,PENTICTON RS,actual,True,5.6,True,45,True,0,True,11.6,True,0.5,100,79.32565,1.798069,624.9354,1.906179,3.570456,0.7153473,1
20080214,PENTICTON RS,actual,True,3.6,True,55,True,0,True,2.7,True,0,100,81.35213,2.098505,625.2874,1.512348,4.162089,0.6025578,1
20080215,PENTICTON RS,actual,True,3.4,True,60,True,225,True,9.1,True,0,100,82.22113,2.354195,625.6033,2.316416,4.664507,0.9673113,1
20080216,PENTICTON RS,actual,True,5.4,True,63,True,315,True,3.3,True,0,100,82.53374,2.695825,626.2794,1.797648,5.334247,0.7955241,1
20080217,PENTICTON RS,actual,True,2.3,True,70,True,315,True,4.4,True,0,100,82.58064,2.840716,626.3973,1.911281,5.617741,0.8656426,1
20080218,PENTICTON RS,actual,True,1.7,True,70,True,315,True,5,True,0,100,82.60352,2.960038,626.4073,1.975608,5.850955,0.9114921,1
20080219,PENTICTON RS,actual,True,1.5,True,68,True,0,True,3.5,True,0,100,82.65044,3.078224,626.3813,1.842606,6.081729,0.8654394,1
20080220,PENTICTON RS,actual,True,2.7,True,65,True,270,True,2.9,True,0,100,82.69736,3.26715,626.5714,1.798321,6.450216,0.8682767,1
20080221,PENTICTON RS,actual,True,3.1,True,69,True,0,True,2.5,True,0,100,82.74431,3.452099,626.8334,1.772905,6.810432,0.8785412,1
20080222,PENTICTON RS,actual,True,2.6,True,77,True,315,True,2.9,True,0,100,82.02272,3.572984,627.0054,1.654313,7.045595,0.8333874,1
20080223,PENTICTON RS,actual,True,7.7,True,62,True,270,True,4.5,True,0,100,82.71864,4.047999,628.0954,1.954549,7.967622,1.240152,1
20080224,PENTICTON RS,actual,True,1.3,True,98,True,0,True,1.9,True,0.25,100,77.49966,4.054818,628.0334,0.9953832,7.980818,0.5335188,1
20080225,PENTICTON RS,actual,True,7.3,True,76,True,45,True,2.6,True,0.25,100,78.68832,4.34119,629.0514,1.140566,8.535125,0.6327299,1
20080226,PENTICTON RS,actual,True,6,True,77,True,225,True,8.9,True,0,100,79.41215,4.573158,629.8354,1.677855,8.983251,0.9559489,1
20080227,PENTICTON RS,actual,True,7.1,True,72,True,225,True,12.6,True,0.25,100,80.50552,4.899304,630.8174,2.264309,9.611979,2.038922,1
20080228,PENTICTON RS,actual,True,9,True,66,True,315,True,4.9,True,0,100,81.70226,5.387104,632.1414,1.760625,10.54945,1.394106,1
20080229,PENTICTON RS,actual,True,9.7,True,59,True,225,True,11.6,True,0,100,83.2253,6.016101,633.5914,2.982139,11.7532,3.423926,1
20080302,PENTICTON RS,actual,True,8.2,True,35,True,225,True,6.4,True,0,100,86.95854,7.030431,549.18,3.828375,13.62481,4.934546,2
20080303,PENTICTON RS,actual,True,4.8,True,56,True,180,True,5.3,True,0.5,100,86.16633,7.472945,549.748,3.237703,14.45467,4.293965,1
20080304,PENTICTON RS,actual,True,7,True,46,True,0,True,11.6,True,0.25,100,86.21442,8.218536,550.712,4.477631,15.84588,6.284279,2
20080305,PENTICTON RS,actual,True,4.1,True,58,True,315,True,5.8,True,0,100,85.58292,8.590821,551.154,3.059749,16.53723,4.406459,1
20080306,PENTICTON RS,actual,True,4.3,True,59,True,315,True,6,True,0,100,85.21449,8.96822,551.632,2.936701,17.2359,4.332936,1
20080307,PENTICTON RS,actual,True,10.3,True,45,True,270,True,9.1,True,0,100,86.16869,10.037,553.19,3.922301,19.20297,6.199546,2
20080308,PENTICTON RS,actual,True,11.4,True,49,True,270,True,6.1,True,0,100,86.21679,11.12369,554.946,3.394928,21.18572,5.72777,2
20080309,PENTICTON RS,actual,True,8.5,True,62,True,225,True,13.5,True,0,100,85.44569,11.74552,556.18,4.42489,22.31302,7.565275,2
20080310,PENTICTON RS,actual,True,6.8,True,82,True,315,True,2,True,0,100,82.73588,11.98792,557.108,1.726955,22.75189,2.862129,1
20080311,PENTICTON RS,actual,True,7.9,True,57,True,0,True,9.6,True,0,100,83.62572,12.6476,558.2339,2.840739,23.93925,5.190871,2
20080312,PENTICTON RS,actual,True,8.8,True,33,True,315,True,5.1,True,1.02,100,81.84886,13.77826,559.522,1.809882,25.95845,3.370708,1
20080313,PENTICTON RS,actual,True,5.5,True,50,True,315,True,7.4,True,0,100,83.6004,14.34078,560.2159,2.534203,26.95643,5.003806,2
20080314,PENTICTON RS,actual,True,7.5,True,62,True,225,True,12.4,True,1.01,100,78.38376,14.89784,561.27,1.818677,27.94154,3.588546,1
20080315,PENTICTON RS,actual,True,8.2,True,62,True,0,True,5.3,True,0.75,100,78.18819,15.50025,562.45,1.250263,29.00234,2.28967,1
20080316,PENTICTON RS,actual,True,8.1,True,36,True,315,True,7.2,True,0,100,84.09635,16.50391,563.6119,2.679304,30.75628,5.771741,2
20080317,PENTICTON RS,actual,True,8.8,True,44,True,225,True,11.6,True,0.25,100,85.71931,17.44894,564.9,4.177123,32.39621,8.930676,2
20080318,PENTICTON RS,actual,True,7.7,True,40,True,315,True,9.6,True,0,100,86.63013,18.34897,565.99,4.293317,33.94663,9.394566,2
20080319,PENTICTON RS,actual,True,7.7,True,33,True,225,True,10.6,True,0,100,87.84651,19.354,567.08,5.370129,35.66496,11.62796,2
20140414,PENTICTON RS,startup,True,15.8,True,20,True,200,True,14.4,True,0,,85,6,414,,,,
20180321,PENTICTON RS,startup,True,9.5,True,51,True,297,True,7.3,True,0,,85,6,231,,,,
20100301,PENTICTON RS,startup,True,6,True,80,True,337,True,4,True,0,100,85,6,491,,,,
20080301,PENTICTON RS,startup,True,9.2,True,39,True,270,True,6,True,0.2,100,85,6,548,,,,
20150301,PENTICTON RS,startup,True,4.1,True,42,True,291,True,6.2,True,0,,85,6,241,,,,
20170328,PENTICTON RS,startup,True,9.9,True,51,True,197,True,10.8,True,0,,85,6,295,,,,
20190326,PENTICTON RS,startup,True,10.1,True,59,True,242,True,8.9,True,2.8,,85,6,350,,,,
20160222,PENTICTON RS,startup,True,6.2,True,57,True,303,True,3.4,True,0,,85,6,272,,,,
20090326,PENTICTON RS,startup,True,8.6,True,37,True,223,True,14.3,True,0,,85,6,319,,,,
20130319,PENTICTON RS,startup,True,5.1,True,49,True,287,True,5.9,True,2,,85,6,293,,,,
20120327,PENTICTON RS,startup,True,8.5,True,62,True,191,True,16,True,1.2,100,85,6,441,,,,
20110321,PENTICTON RS,startup,True,7.3,True,73,True,308,True,4.6,True,0.2,,85,6,307,,,,
20080320,PENTICTON RS,actual,True,8.1,True,46,True,225,True,12.4,True,0,100,87.74221,20.20085,568.242,5.792837,37.1041,12.62776,2
20080321,PENTICTON RS,actual,True,7.2,True,26,True,45,True,10.2,True,0,100,89.15379,21.24781,569.242,6.348651,38.86856,13.91706,2
20080322,PENTICTON RS,actual,True,6.2,True,44,True,315,True,6.5,True,0,100,88.40012,21.94465,570.062,4.728528,40.0363,11.19065,2
20080323,PENTICTON RS,actual,True,9.4,True,43,True,225,True,21.2,True,0,100,88.40019,22.96486,571.458,9.918071,41.7366,20.17635,2
20080324,PENTICTON RS,actual,True,6.3,True,29,True,315,True,9.4,True,0,100,88.85244,23.86045,572.296,5.839633,43.21641,13.81429,2
20080325,PENTICTON RS,actual,True,6.8,True,36,True,225,True,9,True,0,100,88.90142,24.7223,573.224,5.763494,44.63229,13.91739,2
20080326,PENTICTON RS,actual,True,2.6,True,91,True,135,True,4.6,True,0,100,81.99564,24.77906,573.396,1.796368,44.72608,5.016148,2
20100202,PENTICTON RS,actual,True,4.9,True,85,True,246,True,7.2,True,2.8,100,51.64176,0.3701284,336.0666,0.2856005,0.7382242,7.110622E-02,1
20100203,PENTICTON RS,actual,True,3.8,True,85,True,313,True,2.2,True,0,100,56.97876,0.4745352,336.4546,0.3690538,0.9457357,9.589394E-02,1
20100204,PENTICTON RS,actual,True,3.2,True,95,True,318,True,2.8,True,0.4,100,58.55859,0.5050759,336.7346,0.4282136,1.006378,0.1125871,1
20100205,PENTICTON RS,actual,True,2.5,True,98,True,313,True,4.6,True,2,100,40.97277,0.0102276,336.8886,0.0525172,2.045365E-02,1.064479E-02,1
20100206,PENTICTON RS,actual,True,5.5,True,79,True,46,True,3,True,1.2,100,45.72795,0.2071089,337.5826,0.1068883,0.4135835,2.465336E-02,1
20100207,PENTICTON RS,actual,True,3,True,85,True,304,True,4.4,True,0,100,52.75867,0.2944697,337.8266,0.2798157,0.5876587,6.735695E-02,1
20100208,PENTICTON RS,actual,True,1.3,True,97,True,311,True,0,True,0.6,100,51.99089,0.3046972,337.7646,0.2065046,0.6080233,4.994453E-02,1
20100209,PENTICTON RS,actual,True,3.8,True,86,True,284,True,2.9,True,1.4,100,48.21562,0.4021435,338.1526,0.151239,0.8019029,3.816684E-02,1
20100210,PENTICTON RS,actual,True,3.4,True,76,True,261,True,4.4,True,0,100,57.70485,0.5555575,338.4686,0.4361497,1.106574,0.1168639,1
20100211,PENTICTON RS,actual,True,4.8,True,84,True,201,True,7.3,True,0.2,100,63.7983,0.6896527,339.0366,0.7241528,1.372327,0.2033914,1
20100212,PENTICTON RS,actual,True,4.6,True,98,True,272,True,4.9,True,2.6,100,38.59967,0.0161937,339.5686,3.378451E-02,3.238354E-02,6.888771E-03,1
20100213,PENTICTON RS,actual,True,7.8,True,71,True,262,True,11.5,True,0,100,56.97931,0.3828247,340.6766,0.5896996,0.7635046,0.1476155,1
